LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,NUMBER_OF_GRADUATES,HOPE_ELIGIBLE,HOPE_ELIGIBLE_PCT,source_file,#RPT_NAME,DETAIL_LVL_DESC
2019-20,629,Clarke County,0102,Cedar Shoals High School,237.0,89.0,37.55,HOPE_ELIGIBILITY_2020_JUN_21_2021.csv,,
2019-20,629,Clarke County,0104,Classic City High School,25.0,,,HOPE_ELIGIBILITY_2020_JUN_21_2021.csv,,
2019-20,629,Clarke County,5556,Clarke Central High School,322.0,123.0,38.2,HOPE_ELIGIBILITY_2020_JUN_21_2021.csv,,
2019-20,629,Clarke County,ALL,All Schools,584.0,212.0,36.3,HOPE_ELIGIBILITY_2020_JUN_21_2021.csv,,
2022-23,629,Clarke County,0102,Cedar Shoals High School,224,96,42.86,HOPE_ELIGIBLE_2022-23_2023-12-15_18_55_27.csv,HOPE Eligible,SCHOOL
2022-23,629,Clarke County,0104,Classic City High School,10,TFS,TFS,HOPE_ELIGIBLE_2022-23_2023-12-15_18_55_27.csv,HOPE Eligible,SCHOOL
2022-23,629,Clarke County,5556,Clarke Central High School,353,178,50.42,HOPE_ELIGIBLE_2022-23_2023-12-15_18_55_27.csv,HOPE Eligible,SCHOOL
2022-23,629,Clarke County,ALL,All Schools,587,274,46.68,HOPE_ELIGIBLE_2022-23_2023-12-15_18_55_27.csv,HOPE Eligible,DISTRICT
2023-24,629,Clarke County,0102,Cedar Shoals High School,288,109,37.85,HOPE_ELIGIBLE_2023-24_2025-01-14_17_00_37.csv,HOPE Eligible,SCHOOL
2023-24,629,Clarke County,0104,Classic City High School,30,TFS,TFS,HOPE_ELIGIBLE_2023-24_2025-01-14_17_00_37.csv,HOPE Eligible,SCHOOL
2023-24,629,Clarke County,5556,Clarke Central High School,375,208,55.47,HOPE_ELIGIBLE_2023-24_2025-01-14_17_00_37.csv,HOPE Eligible,SCHOOL
2023-24,629,Clarke County,ALL,All Schools,693,317,45.74,HOPE_ELIGIBLE_2023-24_2025-01-14_17_00_37.csv,HOPE Eligible,DISTRICT
