School_ID,School_Name,Division_Name,School_Type,Year,History_Pass_Rate,Math_Pass_Rate,Reading_Pass_Rate,Science_Pass_Rate,Writing_Pass_Rate,Overall_Pass_Rate
300,Belmont Station Elementary ,Loudoun County,Elem,2020-2021,,70.0,78.0,66.0,,71.3
300,Belmont Station Elementary ,Loudoun County,Elem,2021-2022,92.0,85.0,87.0,75.0,,84.8
300,Belmont Station Elementary ,Loudoun County,Elem,2022-2023,86.0,86.0,82.0,82.0,,84.0
300,Belmont Station Elementary ,Loudoun County,Elem,2023-2024,89.0,88.0,81.0,81.0,,84.8
300,Belmont Station Elementary ,Loudoun County,Elem,2024-2025,88.0,85.0,81.0,75.0,,82.2
600,Belmont Elementary,Prince William County,Elem,2020-2021,100.0,35.0,51.0,38.0,,56.0
600,Belmont Elementary,Prince William County,Elem,2021-2022,70.0,61.0,67.0,58.0,,64.0
600,Belmont Elementary,Prince William County,Elem,2022-2023,76.0,60.0,68.0,59.0,,65.8
600,Belmont Elementary,Prince William County,Elem,2023-2024,60.0,78.0,74.0,75.0,,71.8
600,Belmont Elementary,Prince William County,Elem,2024-2025,78.0,80.0,73.0,72.0,,75.8
940,Belmont Ridge Middle,Loudoun County,Middle,2020-2021,,69.0,83.0,74.0,81.0,76.8
940,Belmont Ridge Middle,Loudoun County,Middle,2021-2022,85.0,79.0,80.0,71.0,78.0,78.6
940,Belmont Ridge Middle,Loudoun County,Middle,2022-2023,92.0,85.0,80.0,77.0,79.0,82.6
940,Belmont Ridge Middle,Loudoun County,Middle,2023-2024,92.0,84.0,80.0,77.0,,83.2
940,Belmont Ridge Middle,Loudoun County,Middle,2024-2025,90.0,84.0,84.0,82.0,,85.0
